Column1;ROBOT B4;_1
2570;SR_SOUDER; p_reb_prg
2581;SR_SOUDER; p_reb_prg
2592;SR_SOUDER; p_reb_prg
2616;SR_SOUDER; p_reb_prg
2633;SR_SOUDER; p_reb_prg
2650;SR_SOUDER; p_reb_prg
2667;SR_SOUDER; p_reb_prg
2682;SR_SOUDER; p_reb_prg
2695;SR_SOUDER; p_reb_prg
2708;SR_SOUDER; p_reb_prg
2721;SR_SOUDER; p_reb_prg
